date,passengers
2015-11-14,239612.0
2015-11-15,169400.0
2015-11-16,319696.0
2015-11-17,335546.0
2015-11-18,325636.0
2015-11-19,339159.0
2015-11-20,360988.0
2015-11-21,241820.0
2015-11-22,170136.0
2015-11-23,361150.0
2015-11-24,351638.0
2015-11-25,337910.0
2015-11-26,340217.0
2015-11-27,417055.0
2015-11-28,243280.0
2015-11-29,179865.0
2015-11-30,336840.0
2015-12-01,337055.0
2015-12-02,354541.0
2015-12-03,354553.0
2015-12-04,408567.0
2015-12-05,278752.0
2015-12-06,198338.0
2015-12-07,331099.0
2015-12-08,345613.0
2015-12-09,346211.0
2015-12-10,358937.0
2015-12-11,402449.0
2015-12-12,291750.0
2015-12-13,203696.0
2015-12-14,339002.0
2015-12-15,350829.0
2015-12-16,360591.0
2015-12-17,380399.0
2015-12-18,404293.0
2015-12-19,277678.0
2015-12-20,211811.0
2015-12-21,336377.0
2015-12-22,321048.0
2015-12-23,245524.0
2015-12-24,90226.0
2015-12-25,102385.0
2015-12-26,126306.0
2015-12-27,173356.0
2015-12-28,245168.0
2015-12-29,250047.0
2015-12-30,256116.0
2015-12-31,173810.0
2016-01-01,145189.0
2016-01-02,186576.0
2016-01-03,147237.0
2016-01-04,326769.0
2016-01-05,327911.0
2016-01-06,332306.0
2016-01-07,340290.0
2016-01-08,388012.0
2016-01-09,225258.0
2016-01-10,155309.0
2016-01-11,326519.0
2016-01-12,325068.0
2016-01-13,343279.0
2016-01-14,388799.0
2016-01-15,386411.0
2016-01-16,228820.0
2016-01-17,166503.0
2016-01-18,335755.0
2016-01-19,347796.0
2016-01-20,346078.0
2016-01-21,352743.0
2016-01-22,372272.0
2016-01-23,230340.0
2016-01-24,161150.0
2016-01-25,308312.0
2016-01-26,314640.0
2016-01-27,323088.0
2016-01-28,337854.0
2016-01-29,378055.0
2016-01-30,239281.0
2016-01-31,173607.0
2016-02-01,333657.0
2016-02-02,345970.0
2016-02-03,347014.0
2016-02-04,345509.0
2016-02-05,367858.0
2016-02-06,231140.0
2016-02-07,169452.0
2016-02-08,333225.0
2016-02-09,335940.0
2016-02-10,345688.0
2016-02-11,336369.0
2016-02-12,352542.0
2016-02-13,226572.0
2016-02-14,173856.0
2016-02-15,287121.0
2016-02-16,299149.0
2016-02-17,300485.0
2016-02-18,311853.0
2016-02-19,314330.0
2016-02-20,216131.0
2016-02-21,164354.0
2016-02-22,296901.0
2016-02-23,308842.0
2016-02-24,310280.0
2016-02-25,320991.0
2016-02-26,348451.0
2016-02-27,229707.0
2016-02-28,168260.0
2016-02-29,317982.0
2016-03-01,330637.0
2016-03-02,354213.0
2016-03-03,347012.0
2016-03-04,368606.0
2016-03-05,246447.0
2016-03-06,176910.0
2016-03-07,323982.0
2016-03-08,334679.0
